"Active_location","avg_ToSun","avg_ToShade","avg_Tsurface_open","avg_radiation","mean_DF","sd_DF","DF.CI.25","DF.CI97.5","mean_DE","sd_DE","DE.CI.25","DE.CI97.5","n_hours","Round_percentage","season","habitat_loss","climate_change"
"Bush-Large",33.4807360260395,26.1854409933336,27.0125833333333,730.89875,-1.43004225088895,0.840229342186008,-2.43811063264921,0.175504047043308,1.52884534887355,0.61737756436087,0.590219962337349,2.43811063264921,10,0.017921146953405,"Winter","none",3
"Bush-Small",34.149816136693,26.8262218564025,28.1822549019608,647.784477124183,-1.29772993914674,0.768832353819045,-2.43897037285645,0.180004742226593,1.33662629128405,0.694429379210265,0.15979757777741,2.43897037285645,17,0.0304659498207885,"Winter","none",3
"open",31.1647720457711,25.0340062366856,25.4618778935185,590.605908564815,-0.535227954228946,1.50718664204265,-2.75980396205002,2.21161119210905,1.32421299464717,0.88831167286338,0.0556964995377975,2.89935333155537,96,0.172043010752688,"Winter","none",3
"Rock-Small",27.3146448950847,26.0785353718858,23.5433333333333,237.159166666667,-2.83845764408018,0.00705812643325294,-2.84319895069043,-2.83371633746992,2.83845764408018,0.00705812643325294,2.83371633746992,2.84319895069043,2,0.003584229390681,"Winter","none",3
"burrow",21.424043633861,21.2188907888773,17.8352804597701,223.189877394636,NA,NA,NA,NA,NA,NA,NA,NA,435,0.779569892473118,"Winter","Rock",3
"Bush-Large",33.4807360260395,27.8792560997138,26.7506666666667,720.9135,-1.43004225088895,0.840229342186008,-2.43811063264921,0.175504047043308,1.52884534887355,0.61737756436087,0.590219962337349,2.43811063264921,10,0.017921146953405,"Winter","Rock",3
"Bush-Small",34.149816136693,28.396211204098,28.2117647058824,653.942549019608,-1.29772993914674,0.768832353819045,-2.43897037285645,0.180004742226593,1.33662629128405,0.694429379210265,0.15979757777741,2.43897037285645,17,0.0304659498207885,"Winter","Rock",3
"open",31.1647720457711,26.2866586621166,25.4091145833333,595.188125,-0.535227954228946,1.50718664204265,-2.75980396205002,2.21161119210905,1.32421299464717,0.88831167286338,0.0556964995377975,2.89935333155537,96,0.172043010752688,"Winter","Rock",3
"burrow",21.5605892161049,20.8236787847384,18.0022397260274,229.888666920345,NA,NA,NA,NA,NA,NA,NA,NA,438,0.78494623655914,"Winter","Bush",3
"open",31.5971522479966,24.0165067849128,25.8775141242938,600.605145951036,-0.102847752003386,1.77436692470645,-2.67465602131615,3.1324954460675,1.50850728900405,0.929517233046317,0.0587955625104857,3.1324954460675,118,0.211469534050179,"Winter","Bush",3
"Rock-Small",27.3146448950847,25.7685430884731,23.2333333333333,212.725,-2.83845764408018,0.00705812643325294,-2.84319895069043,-2.83371633746992,2.83845764408018,0.00705812643325294,2.83371633746992,2.84319895069043,2,0.003584229390681,"Winter","Bush",3
"burrow",21.639724052621,21.3269589397874,17.616960107095,216.48055957162,NA,NA,NA,NA,NA,NA,NA,NA,415,0.743727598566308,"Winter","none",3.5
"Bush-Large",33.5209514372573,26.4948937481306,26.6187820512821,711.019935897436,-1.18067703312729,0.895845877428086,-2.42445483529265,0.566901402471037,1.3332108598651,0.622199714002337,0.428158213957915,2.42445483529265,13,0.0232974910394265,"Winter","none",3.5
"Bush-Small",34.4152163629868,27.1502159066507,28.0017270531401,636.353852657005,-1.05685924700614,0.819376873300501,-2.32452636148869,0.622209578522041,1.16834886436608,0.641883284161188,0.268638782117605,2.32452636148869,23,0.0412186379928315,"Winter","none",3.5
"open",31.1158466652474,25.3373212182874,25.0029833333333,572.1589,-0.584153334752599,1.53744218337854,-2.90149689435956,2.56514877164222,1.34280923602419,0.941838765024668,0.0233869919467679,2.94229424883431,100,0.17921146953405,"Winter","none",3.5
"Rock-Small",27.3181176453374,26.5814700693444,23.3486904761905,190.747738095238,-2.63754950218554,0.232611529635547,-2.90691257164945,-2.33460755156838,2.63754950218554,0.232611529635547,2.33460755156838,2.90691257164945,7,0.0125448028673835,"Winter","none",3.5
"burrow",21.7167678031747,21.5890219602956,17.6621385589865,215.071235154394,NA,NA,NA,NA,NA,NA,NA,NA,421,0.754480286738351,"Winter","Rock",3.5
"Bush-Large",33.5209514372573,28.0696853083804,26.4048717948718,707.915,-1.18067703312729,0.895845877428086,-2.42445483529265,0.566901402471037,1.3332108598651,0.622199714002337,0.428158213957915,2.42445483529265,13,0.0232974910394265,"Winter","Rock",3.5
"Bush-Small",34.4152163629868,28.6799970501563,28.0309420289855,643.615942028986,-1.05685924700614,0.819376873300501,-2.32452636148869,0.622209578522041,1.16834886436608,0.641883284161188,0.268638782117605,2.32452636148869,23,0.0412186379928315,"Winter","Rock",3.5
"open",31.0944329380522,26.541674865548,24.9603300330033,574.26498349835,-0.605567061947822,1.54479917837594,-2.90088023392259,2.55869626956827,1.35671151865237,0.947475739214366,0.0238029828969992,2.9409094485404,101,0.181003584229391,"Winter","Rock",3.5
"burrow",21.9263753151881,21.2246611611634,17.8795096960168,228.808715932914,NA,NA,NA,NA,NA,NA,NA,NA,424,0.759856630824373,"Winter","Bush",3.5
"open",31.6227189030512,24.4001649628648,25.4873777777778,579.888195555556,-0.0772810969487834,1.81662811289829,-2.88847755849336,3.3246346122192,1.5329839348606,0.968073630883137,0.0330402986371439,3.3246346122192,125,0.224014336917563,"Winter","Bush",3.5
