"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","df","season","climate_change"
"2022-01-26 12:00:00","open",22.8258333333333,31.2815204312835,24.2266754954732,730.268611111111,0.41847956871645,-0.41847956871645,"Winter",5
"2022-01-26 13:00:00","burrow",20.5008333333333,26.1448257035297,24.0036930232122,273.046111111111,NA,NA,"Winter",5
"2022-01-26 14:00:00","burrow",21.3433333333333,27.5843953511955,24.9379711166369,359.454722222222,NA,NA,"Winter",5
"2022-01-26 15:00:00","burrow",19.4402777777778,24.407719100861,23.9703217312262,151.751944444444,NA,NA,"Winter",5
"2022-01-26 16:00:00","burrow",14.9119444444444,19.5832799838036,20.2761012149849,61.3658333333333,NA,NA,"Winter",5
"2022-01-26 17:00:00","burrow",13.0752777777778,17.5809029722669,18.4206450902493,37.0866666666667,NA,NA,"Winter",5
"2022-01-27 07:00:00","burrow",8.67805555555555,13.0582464944299,14.8509387948656,10.6394444444444,NA,NA,"Winter",5
"2022-01-27 08:00:00","burrow",8.66361111111111,13.2975238130602,15.0930296925729,46.8222222222222,NA,NA,"Winter",5
"2022-01-27 09:00:00","burrow",9.61555555555556,14.4349000293404,15.4674064533792,77.0547222222222,NA,NA,"Winter",5
"2022-01-27 10:00:00","burrow",10.2738888888889,15.310999480247,15.9941787043149,108.673055555556,NA,NA,"Winter",5
"2022-01-27 11:00:00","burrow",11.0172222222222,16.951294587716,16.8413953105851,248.163888888889,NA,NA,"Winter",5
"2022-01-27 12:00:00","burrow",13.5927777777778,20.5747168834065,18.3462984997799,405.784722222222,NA,NA,"Winter",5
"2022-01-27 13:00:00","burrow",15.0597222222222,22.1815762116086,18.9340498514152,429.25,NA,NA,"Winter",5
"2022-01-27 14:00:00","burrow",14.3130555555556,20.0625324713894,19.029431898438,232.02,NA,NA,"Winter",5
"2022-01-27 15:00:00","burrow",14.5066666666667,20.5481989080885,19.6265062679298,259.240833333333,NA,NA,"Winter",5
"2022-01-27 16:00:00","burrow",12.9972222222222,18.1055671760848,18.7093430802498,123.416944444444,NA,NA,"Winter",5
"2022-01-27 17:00:00","burrow",12.7527777777778,17.2900472760751,18.0708404251915,39.8052777777778,NA,NA,"Winter",5
"2022-01-28 07:00:00","burrow",11.185,15.5044206051458,16.8145134328235,20.1775,NA,NA,"Winter",5
"2022-01-28 08:00:00","burrow",12.0652777777778,16.652137101036,17.2250198632283,61.6713888888889,NA,NA,"Winter",5
"2022-01-28 09:00:00","burrow",12.9272222222222,17.8565608213192,18.0465919278515,115.208888888889,NA,NA,"Winter",5
"2022-01-28 10:00:00","burrow",14.2194444444444,19.7372072447832,18.8687927362368,209.031666666667,NA,NA,"Winter",5
"2022-01-28 11:00:00","burrow",15.9344444444444,21.9304174318231,20.3971621836067,288.0175,NA,NA,"Winter",5
