"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","season","climate_change"
"2022-01-20 10:00:00","burrow",14.1844444444444,14.7743806973153,13.9553952412675,290.621111111111,NA,"Winter",0
"2022-01-20 11:00:00","burrow",15.405,16.0094532948605,14.372469955479,299.956666666667,NA,"Winter",0
"2022-01-20 12:00:00","burrow",16.2494444444444,17.044335697109,15.0552646339543,341.861111111111,NA,"Winter",0
"2022-01-20 13:00:00","burrow",17.6283333333333,18.9757532254075,15.8438081289313,456.124444444444,NA,"Winter",0
"2022-01-20 14:00:00","burrow",17.5361111111111,17.8614901384426,16.0762226503077,270.457777777778,NA,"Winter",0
"2022-01-20 15:00:00","burrow",17.0766666666667,16.7246036411234,15.7530056461956,138.306666666667,NA,"Winter",0
"2022-01-20 16:00:00","burrow",17.4538888888889,17.3640523818785,16.1504827703857,184.285555555556,NA,"Winter",0
"2022-01-20 17:00:00","burrow",16.5866666666667,15.7642781855953,16.040836786661,45.45,NA,"Winter",0
"2022-01-21 07:00:00","burrow",11.04,10.2575397010681,11.3514961944612,38.18,NA,"Winter",0
"2022-01-21 08:00:00","burrow",11.9577777777778,11.8143792617561,13.6253062919513,144.727222222222,NA,"Winter",0
"2022-01-21 09:00:00","burrow",13.4994444444444,14.2738484303053,14.6760393665703,311.757777777778,NA,"Winter",0
"2022-01-21 10:00:00","burrow",15.1722222222222,16.6192858058659,15.0581574736489,447.327777777778,NA,"Winter",0
"2022-01-21 11:00:00","burrow",16.6777777777778,18.6406208022031,16.187785403725,551.611111111111,NA,"Winter",0
"2022-01-21 12:00:00","burrow",17.9277777777778,20.0432022871075,17.2320245770396,587.874444444444,NA,"Winter",0
"2022-01-21 13:00:00","burrow",19.0122222222222,20.9228559732861,18.0018001653482,561.193888888889,NA,"Winter",0
"2022-01-21 14:00:00","burrow",19.6522222222222,21.0315507547333,18.4124148114617,471.693888888889,NA,"Winter",0
"2022-01-21 15:00:00","burrow",19.3816666666667,19.9683503272892,18.8677409029031,325.884444444444,NA,"Winter",0
"2022-01-21 16:00:00","burrow",19.145,18.8428219780488,18.2929119176992,155.940555555556,NA,"Winter",0
"2022-01-21 17:00:00","burrow",17.91,17.0131382897062,18.2196237091017,35.9866666666667,NA,"Winter",0
"2022-01-22 07:00:00","burrow",11.0927777777778,10.2163232407311,12.5668961403405,30.3211111111111,NA,"Winter",0
"2022-01-22 08:00:00","burrow",11.8427777777778,11.6953783104382,14.4638861361185,147.788888888889,NA,"Winter",0
"2022-01-22 09:00:00","burrow",12.93,13.7221028648398,15.8856288523416,313.754444444444,NA,"Winter",0
"2022-01-22 10:00:00","burrow",14.4861111111111,15.9641461873281,16.1276389275933,447.281666666667,NA,"Winter",0
"2022-01-22 11:00:00","burrow",16.1911111111111,18.1561291667249,16.527765837636,553.436666666667,NA,"Winter",0
"2022-01-22 12:00:00","burrow",17.6766666666667,19.7601469889659,17.3463151359439,589.794444444444,NA,"Winter",0
"2022-01-22 13:00:00","burrow",19.1133333333333,20.952881184065,17.9699453385496,560.855,NA,"Winter",0
"2022-01-22 14:00:00","burrow",19.975,21.2751704806468,18.4515253502542,467.562777777778,NA,"Winter",0
"2022-01-22 15:00:00","burrow",19.6594444444444,20.2116070827689,18.9674960818058,319.910555555556,NA,"Winter",0
"2022-01-22 16:00:00","burrow",19.4044444444444,19.0316963501001,18.5639096926116,149.537222222222,NA,"Winter",0
"2022-01-22 17:00:00","burrow",17.8816666666667,16.8081659139916,17.7839040719937,17.6466666666667,NA,"Winter",0
"2022-01-23 07:00:00","burrow",11.0877777777778,10.3065290782313,13.1647438422817,29.0294444444444,NA,"Winter",0
"2022-01-23 08:00:00","burrow",11.8027777777778,11.6700431986384,14.9101099434205,147.063888888889,NA,"Winter",0
"2022-01-23 09:00:00","burrow",13.3822222222222,14.1815537247642,16.3052111973339,316.795555555556,NA,"Winter",0
"2022-01-23 10:00:00","burrow",15.5255555555556,17.0215755371627,16.7436706039382,453.307777777778,NA,"Winter",0
"2022-01-23 11:00:00","burrow",17.7272222222222,19.7122146339461,18.1144293072515,556.971111111111,NA,"Winter",0
"2022-01-23 12:00:00","burrow",19.4638888888889,21.4788037487139,19.3420160237966,574.516111111111,NA,"Winter",0
"2022-01-23 13:00:00","burrow",21.3938888888889,23.4440072241595,20.3918438978273,587.34,NA,"Winter",0
"2022-01-23 14:00:00","burrow",22.4044444444444,23.9094253020137,20.644426298631,493.772222222222,NA,"Winter",0
"2022-01-23 15:00:00","burrow",21.6227777777778,21.8569707221417,20.7244740656213,253.455555555556,NA,"Winter",0
"2022-01-23 16:00:00","burrow",20.9494444444444,20.6015283000796,20.3031201022569,137.556111111111,NA,"Winter",0
"2022-01-23 17:00:00","burrow",19.84,18.9889482477975,20.0710387041441,35.4166666666667,NA,"Winter",0
"2022-01-24 07:00:00","burrow",12.14,11.5563007779,13.1130473569753,43.47,NA,"Winter",0
"2022-01-24 08:00:00","burrow",12.8655555555556,12.9238468879023,14.9846116927154,161.430555555556,NA,"Winter",0
"2022-01-24 09:00:00","burrow",14.2811111111111,15.3022580257274,16.3608711581859,340.148888888889,NA,"Winter",0
"2022-01-24 10:00:00","burrow",15.755,16.9179129479107,16.8775543855846,375.441666666667,NA,"Winter",0
"2022-01-24 11:00:00","burrow",17.6833333333333,18.8803834704061,18.4013512883118,392.186666666667,NA,"Winter",0
"2022-01-24 12:00:00","burrow",18.4938888888889,18.9073428750844,18.5431290448579,264.897222222222,NA,"Winter",0
"2022-01-24 13:00:00","burrow",19.8683333333333,22.4645945529427,18.6216524076317,681.462777777778,NA,"Winter",0
"2022-01-24 14:00:00","burrow",19.2511111111111,19.1533873538702,18.6783369379083,175.956111111111,NA,"Winter",0
"2022-01-24 15:00:00","burrow",17.7244444444444,17.1824866211315,17.0168481812769,85.6427777777778,NA,"Winter",0
"2022-01-24 16:00:00","burrow",16.8922222222222,16.3143629831891,16.2569495585132,74.6972222222222,NA,"Winter",0
"2022-01-24 17:00:00","burrow",15.5222222222222,14.6789922141964,15.2435739883286,20.3844444444444,NA,"Winter",0
"2022-01-25 07:00:00","burrow",11.3772222222222,10.5804925973006,12.3457489264551,31.2438888888889,NA,"Winter",0
"2022-01-25 08:00:00","burrow",12.2294444444444,12.1127965279814,14.2672812534019,148.531111111111,NA,"Winter",0
"2022-01-25 09:00:00","burrow",13.6866666666667,14.4819873745431,15.8567056334011,313.243888888889,NA,"Winter",0
"2022-01-25 10:00:00","burrow",15.1477777777778,16.6385207145487,15.666966417703,445.598888888889,NA,"Winter",0
"2022-01-25 11:00:00","burrow",21.1772222222222,23.3221513066519,16.4452541123355,634.997777777778,NA,"Winter",0
"2022-01-25 12:00:00","open",23.2644444444444,25.4462822810192,17.1640012511369,664.331111111111,6.2005395037941,"Winter",0
"2022-01-25 13:00:00","open",23.6855555555556,25.611058300852,17.6903361444609,616.642222222222,6.0502440315421,"Winter",0
"2022-01-25 14:00:00","burrow",22.9072222222222,24.2846363897608,17.9725307354663,503.462777777778,NA,"Winter",0
"2022-01-25 15:00:00","burrow",21.3527777777778,22.0820219588409,18.7562412616795,358.068888888889,NA,"Winter",0
"2022-01-25 16:00:00","burrow",19.5372222222222,19.4069856522189,18.1476834908853,180.632777777778,NA,"Winter",0
"2022-01-25 17:00:00","burrow",15.9605555555556,15.1079845592371,17.5265347806327,19.0172222222222,NA,"Winter",0
"2022-01-26 07:00:00","burrow",8.82,8.1343031234415,12.4278229389321,38.55,NA,"Winter",0
"2022-01-26 08:00:00","burrow",11.2533333333333,11.402034005234,14.104167727654,205.762222222222,NA,"Winter",0
"2022-01-26 09:00:00","burrow",15.0133333333333,16.0186950153933,15.6406827215373,397.601666666667,NA,"Winter",0
"2022-01-26 10:00:00","burrow",18.9672222222222,20.7209203277061,16.1255889729545,570.471111111111,NA,"Winter",0
"2022-01-26 11:00:00","burrow",21.3755555555556,22.8876441475192,17.0358547702297,539.848888888889,NA,"Winter",0
"2022-01-26 12:00:00","open",22.9466666666667,25.4835225242667,17.963164256256,734.115555555556,5.975920431485,"Winter",0
"2022-01-26 13:00:00","burrow",20.3516666666667,20.4938595160693,18.1194010306272,257.277222222222,NA,"Winter",0
"2022-01-26 14:00:00","burrow",21.1733333333333,21.765001396913,18.8383767704919,341.424444444444,NA,"Winter",0
"2022-01-26 15:00:00","burrow",19.3872222222222,18.9710009711344,18.146787746814,134.605555555556,NA,"Winter",0
"2022-01-26 16:00:00","burrow",14.6772222222222,14.1052216528962,15.9976871973976,55.4916666666667,NA,"Winter",0
