TIMESTAMP,ID,RECORD,Speed_AVG,Direction_AVG,Direction_StDev,Raw_Speed_AVG,Raw_Direction_AVG,Raw_Direction_StDev,Speed_Max,Temperature_Avg,RH_Avg,Dewpoint_T_Avg,Pressure_Avg,Radiation_Avg,Sunshine,IR_Temp_Avg,IRdetectorT_Avg,Batt_Min
30/01/2020 15:10,GS,4894,0.884,65.25,67.04,0.884,303.3,67.04,1.51,21.91,41.04,8.25,1050.3,345.3,7.72,26.55,26.82,12.83
30/01/2020 10:40,GS,4867,1.163,112.2,57.17,1.163,350.2,57.17,2.29,19.52,49.73,8.85,1054.163,633.38,3.22,27.16,24.89,12.78
30/01/2020 15:00,GS,4893,1.348,62.08,33.96,1.348,300.1,33.98,2.56,21.86,41.6,8.37,1050.314,375.26,7.55,27.21,27.6,12.83
30/01/2020 10:50,GS,4868,1.09,88.1,42.22,1.09,326.1,42.21,1.99,19.92,48.68,8.92,1054.1,645.2,3.38,28.11,25.93,12.78
30/01/2020 14:50,GS,4892,0.984,15.22,53.36,0.984,253.2,53.35,2.52,22.11,41.85,8.65,1050.4,406.27,7.39,28.13,27.61,12.83
30/01/2020 11:00,GS,4869,1.312,93.3,44.62,1.312,331.3,44.62,2.73,19.91,48.71,8.92,1053.968,658.32,3.55,28.29,26.58,12.78
30/01/2020 11:10,GS,4870,1.323,96.3,26.46,1.323,334.3,26.46,2.47,19.86,48.69,8.89,1053.795,669.64,3.72,28.61,26.44,12.79
30/01/2020 11:20,GS,4871,1.635,104.9,25.13,1.635,342.9,25.13,2.84,20.02,48.49,8.96,1053.645,676.99,3.88,28.66,26.48,12.8
30/01/2020 14:40,GS,4891,0.909,50.8,58.71,0.909,288.8,58.71,2.1,21.96,42.21,8.65,1050.499,444.78,7.22,28.78,27.58,12.83
30/01/2020 14:30,GS,4890,1.39,49.13,36.99,1.39,287.1,36.99,2.68,21.77,42.68,8.68,1050.6,470.2,7.05,28.98,27.76,12.83
30/01/2020 14:20,GS,4889,1.142,70.89,60.3,1.142,308.9,60.3,2.56,21.6,43.12,8.68,1050.691,493.74,6.88,29.09,28,12.83
30/01/2020 11:30,GS,4872,1.334,106.7,28.09,1.334,344.7,28.09,2.82,20.18,48.04,8.97,1053.401,683.11,4.05,29.46,26.08,12.8
30/01/2020 14:10,GS,4888,1.523,56.28,21.42,1.523,294.3,21.42,2.68,21.35,43.91,8.7,1050.771,524.45,6.72,29.58,28.21,12.83
30/01/2020 14:00,GS,4887,1.633,49.27,32.83,1.633,287.3,32.83,3.54,21.6,43.73,8.89,1050.865,552.15,6.55,30.06,28.25,12.83
30/01/2020 13:40,GS,4885,2.007,78.17,20.45,2.007,316.2,20.43,5.13,21.34,44.24,8.83,1050.979,605.43,6.22,30.17,28.07,12.83
30/01/2020 13:00,GS,4881,1.747,85.2,22.59,1.747,323.2,22.59,3.03,21.01,44.8,8.68,1051.555,662.33,5.55,30.41,28.97,12.82
30/01/2020 11:40,GS,4873,0.906,93.8,42.47,0.906,331.8,42.48,2.16,20.61,46.98,9,1053.148,687.24,4.22,30.48,26.75,12.8
30/01/2020 11:50,GS,4874,1.483,62.33,30.5,1.483,300.3,30.5,3.21,20.53,46.76,8.91,1052.914,694.78,4.38,30.58,27.83,12.8
30/01/2020 13:50,GS,4886,1.467,51.88,23.37,1.467,289.9,23.37,2.6,21.45,44.1,8.89,1050.885,580.29,6.39,30.59,27.89,12.83
30/01/2020 12:00,GS,4875,1.255,61.14,37.18,1.255,299.2,37.17,2.96,20.48,46.85,8.87,1052.716,695.93,4.55,30.62,28.5,12.81
30/01/2020 13:20,GS,4883,1.612,88.3,35.37,1.612,326.3,35.35,3.34,21.38,43.71,8.7,1051.225,632.88,5.88,30.86,28.33,12.82
30/01/2020 12:10,GS,4876,0.885,343.1,36.79,0.885,221.1,36.76,1.92,21.04,45.48,8.93,1052.522,695.27,4.72,31.04,28.86,12.81
30/01/2020 12:40,GS,4879,1.266,63.85,49.54,1.266,301.9,49.54,4.17,21.38,44.45,8.9,1051.982,677.55,5.22,31.21,30.09,12.82
30/01/2020 13:30,GS,4884,1.285,77.46,33.3,1.285,315.4,33.31,3.27,21.53,43.57,8.78,1051.09,619.86,6.05,31.23,27.87,12.83
30/01/2020 12:50,GS,4880,1.634,62.15,25.29,1.634,300.1,25.29,3.25,21.46,44.11,8.87,1051.766,674.5,5.39,31.34,29.79,12.82
30/01/2020 13:10,GS,4882,1.183,60.92,69.31,1.183,298.9,69.32,3.38,21.53,43.51,8.71,1051.412,650.41,5.72,31.48,28.25,12.82
30/01/2020 12:30,GS,4878,0.785,49.53,95.7,0.785,287.5,95.7,1.79,21.44,44.2,8.9,1052.145,686.56,5.05,31.54,30.18,12.81
30/01/2020 12:20,GS,4877,1.271,46.14,32.23,1.271,284.1,32.23,2.5,21.4,44.29,8.92,1052.335,693.56,4.88,31.64,29.83,12.81
01/12/2019 0:00,GS,4614,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 0:10,GS,4615,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 0:20,GS,4616,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 0:30,GS,4617,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 0:40,GS,4618,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 0:50,GS,4619,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 1:00,GS,4620,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 1:10,GS,4621,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 1:20,GS,4622,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 1:30,GS,4623,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 1:40,GS,4624,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 1:50,GS,4625,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 2:00,GS,4626,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 2:10,GS,4627,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 2:20,GS,4628,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 2:30,GS,4629,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 2:40,GS,4630,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 2:50,GS,4631,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 3:00,GS,4632,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 3:10,GS,4633,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 3:20,GS,4634,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 3:30,GS,4635,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 3:40,GS,4636,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 3:50,GS,4637,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 4:00,GS,4638,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 4:10,GS,4639,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 4:20,GS,4640,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 4:30,GS,4641,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 4:40,GS,4642,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 4:50,GS,4643,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
01/12/2019 5:00,GS,4644,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,NA,0,13.56
